Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
Abbott Laboratories,ABT,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Equipment & Supplies,Health Care Equipment,US
AbbVie Inc,ABBV,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology,US
Abercrombie & Fitch Co,ANF,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,US
Acadia Healthcare Co Inc,ACHC,Nasdaq,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities,US
Activision Blizzard Inc,ATVI,Nasdaq,Communication Services,Media and Entertainment,Entertainment,Interactive Home Entertainment,US
Adobe Inc,ADBE,Nasdaq,Information Technology,Software and Services,Software,Application Software,US
Advanced Micro Devices,AMD,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
Aemetis Inc,AMTX,Nasdaq,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing,US
Aflac Inc,AFL,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Life and Health Insurance,US
Air Canada,AC.TO,Toronto Stock Exchange,Industrials,Transportation,Airlines,Airlines,Canada
Air Products & Chemicals Inc,APD,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Industrial Gases,US
Alibaba Group Holding Ltd,BABA,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,US
Alimentation Couche-Tard Inc,ATD.TO,Toronto Stock Exchange,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail,Canada
Allstate Corp,ALL,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Property and Casualty Insurance,US
Alphabet Inc,GOOG,Nasdaq,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,US
Aluminum Corporation of China Ltd,ACH,"New York Stock Exchange, Inc.",Materials,Materials,Metals and Mining,Aluminum,US
Amazon.com Inc,AMZN,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,US
Ambev SA,ABEV3.SA,B3 S.A.,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Brewers,Brazil
AMC Entertainment Holdings,AMC,"New York Stock Exchange, Inc.",Communication Services,Media and Entertainment,Entertainment,Movies & Entertainment,US
American Airlines Group Inc,AAL,Nasdaq,Industrials,Transportation,Airlines,Airlines,US
American Eagle Outfitters Inc,AEO,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,US
American Electric Power Co Inc,AEP,Nasdaq,Utilities,Utilities,Electric Utilities,Electric Utilities,US
American Express Co,AXP,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Consumer Finance,Consumer Finance,US
American Water Works Co Inc,AWK,"New York Stock Exchange, Inc.",Utilities,Utilities,Water Utilities,Water Utilities,US
Amgen Inc,AMGN,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology,US
AMN Healthcare Services Inc,AMN,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services,US
Anhui Conch Cement Co Ltd,0914.HK,Hong Kong Exchanges And Clearing Ltd,Materials,Materials,Construction Materials,Construction Materials,HK
Apple Inc,AAPL,Nasdaq,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals",US
Aptiv PLC,APTV,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment,US
ArcBest Corp,ARCB,Nasdaq,Industrials,Transportation,Road and Rail,Trucking,US
Arista Networks Inc,ANET,"New York Stock Exchange, Inc.",Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,US
Artisan Partners Asset Management Inc,APAM,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,US
ASGN Inc,ASGN,"New York Stock Exchange, Inc.",Industrials,Commercial Services and Supplies,Professional Services,Human Resource and Employment Services,US
Ashland Global Holdings Inc,ASH,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Specialty Chemicals,US
Asian Paints Ltd,ASIANPAINT.BO,BSE LTD,Materials,Materials,Chemicals,Specialty Chemicals,India
Astra Microwave Products Ltd,ASTRAMICRO.BO,BSE LTD,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,India
AstraZeneca PLC,AZN.L,London Stock Exchange,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,UK
AT&T Inc,T,"New York Stock Exchange, Inc.",Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,US
Atacadao SA,CRFB3.SA,B3 S.A.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers,Brazil
Atul Ltd,ATUL.BO,BSE LTD,Materials,Materials,Chemicals,Diversified Chemicals,India
Aurobindo Pharma Ltd,AUROPHARMA.BO,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,India
Aurora Cannabis Inc,ACB.TO,Toronto Stock Exchange,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,Canada
Autozone Inc,AZO,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,US
Aviva PLC,AV.L,London Stock Exchange,Financials,Insurance,Insurance,Multi-line Insurance,UK
Axis Bank Ltd,AXISBANK.BO,BSE LTD,Financials,Banks,Banks,Diversified Banks,India
B3 SA - Brasil Bolsa Balcao,B3SA3.SA,B3 S.A.,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data,Brazil
Baidu Inc,BIDU,Nasdaq,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,US
Bajaj Auto Ltd,BAJAJ-AUTO.BO,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Motorcycle Manufacturers,India
Bajaj Finserv Ltd,BAJAJFINSV.BO,BSE LTD,Financials,Diversified Financials,Diversified Financial Services,Other Diversified Financial Services,India
Banco BTG Pactual S.A.,BPAC11.SA,B3 S.A.,Financials,Diversified Financials,Capital Markets,Diversified Capital Markets,Brazil
Banco do Brasil SA BB Brasil,BBAS3.SA,B3 S.A.,Financials,Banks,Banks,Diversified Banks,Brazil
Banco Santander (Brasil) SA,SANB11.SA,B3 S.A.,Financials,Banks,Banks,Diversified Banks,Brazil
Bank Bradesco SA,BBDC3.SA,B3 S.A.,Financials,Banks,Banks,Diversified Banks,Brazil
Bank of America Corp,BAC,"New York Stock Exchange, Inc.",Financials,Banks,Commercial Banks,Diversified Banks,US
Bank Of Ningbo Co Ltd,002142.SZ,Shenzhen Stock Exchange,Financials,Banks,Banks,Regional Banks,China
Bank of Nova Scotia,BNS.TO,Toronto Stock Exchange,Financials,Banks,Banks,Diversified Banks,Canada
Bank OZK,OZK,Nasdaq,Financials,Banks,Banks,Regional Banks,US
Barclays PLC,BCS,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks,US
Barnes & Noble Education Inc,BNED,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,US
Bata India Ltd,BATAINDIA.BO,BSE LTD,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear,India
Baxter International Inc,BAX,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,US
BB Seguridade Participacoes SA,BBSE3.SA,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance,Brazil
BCE Inc,BCE.TO,Toronto Stock Exchange,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Canada
Beacon Roofing Supply Inc,BECN,Nasdaq,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors,US
Bed Bath & Beyond Inc,BBBY,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail,US
Benefitfocus Inc,BNFT,Nasdaq,Information Technology,Software and Services,Software,Application Software,US
Berger Paints India Ltd,BERGEPAINT.BO,BSE LTD,Materials,Materials,Chemicals,Commodity Chemicals,India
Best Buy Co Inc,BBY,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Computer and Electronics Retail,US
Bharat Heavy Electricals Ltd,BHEL.BO,BSE LTD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,India
Bharti Airtel Ltd,BHARTIARTL.BO,BSE LTD,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,India
BHP Group PLC,BHP.L,London Stock Exchange,Materials,Materials,Metals and Mining,Diversified Metals and Mining,UK
Bill.com Holdings Inc,BILL,"New York Stock Exchange, Inc.",Information Technology,Software and Services,Software,Application Software,US
Blackrock Inc,BLK,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,US
Blackstone Inc,BX,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,US
Boeing Co,BA,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,US
Bombardier Inc,BBD-B.TO,Toronto Stock Exchange,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,Canada
BorgWarner Inc,BWA,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment,US
Bosch Ltd,BOSCHLTD.BO,BSE LTD,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment,India
Boyd Group Services Inc,BYD.TO,Toronto Stock Exchange,Industrials,Commercial Services and Supplies,Commercial Services and Supplies,Diversified Support Services,Canada
BP PLC,BP,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,US
BR Malls Participacoes SA,BRML3.SA,B3 S.A.,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies,Brazil
BRF SA,BRFS3.SA,B3 S.A.,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,Brazil
Bristol-Myers Squibb Co,BMY,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
Broadcom Inc,AVGO,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
Brookfield Asset Management,BAM,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,US
BT Group PLC,BT-A.L,London Stock Exchange,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,UK
Build-A-Bear Workshop Inc,BBW,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,US
Bunzl PLC,BNZL.L,London Stock Exchange,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors,UK
Burlington Stores Inc,BURL,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,US
Caesars Entertainment Inc,CZR,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,US
Cameco Corp,CCJ,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Coal and Consumable Fuels,US
Campbell Soup Co,CPB,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,US
Canada Goose Holdings Inc,GOOS.TO,Toronto Stock Exchange,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",Canada
Canadian National Railway Co,CNI,"New York Stock Exchange, Inc.",Industrials,Transportation,Road & Rails,Railroads,US
Canadian Natural Resources Ltd,CNQ.TO,Toronto Stock Exchange,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,Canada
Canadian Pacific Railway Ltd,CP,"New York Stock Exchange, Inc.",Industrials,Transportation,Road & Rails,Railroads,US
Canadian Utilities Ltd,CU.TO,Toronto Stock Exchange,Utilities,Utilities,Multi-Utilities,Multi-Utilities,Canada
Canadian Western Bank,CWB.TO,Toronto Stock Exchange,Financials,Banks,Banks,Regional Banks,Canada
Carclo PLC,CAR.L,London Stock Exchange,Materials,Materials,Chemicals,Specialty Chemicals,UK
Cardiovascular Systems Inc,CSII,Nasdaq,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,US
Cargojet Inc,CJT.TO,Toronto Stock Exchange,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics,Canada
CarMax Inc,KMX,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,US
Carnival PLC,CCL.L,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines",UK
Casey's General Stores Inc,CASY,Nasdaq,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail,US
Catalyst Pharmaceuticals Inc,CPRX,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology,US
Caterpillar Inc,CAT,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Construction & Farm Machinery & Heavy Trucks,US
CCR SA,CCRO3.SA,B3 S.A.,Industrials,Transportation,Transportation Infrastructure,Highways and Railtracks,Brazil
Centene Corp,CNC,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care,US
Centrais Eletricas Brasileiras SA,ELET3.SA,B3 S.A.,Utilities,Utilities,Electric Utilities,Electric Utilities,Brazil
Cheesecake Factory Inc,CAKE,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
Chevron Corp,CVX,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,US
China Automotive Systems Inc,CAAS,Nasdaq,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment,US
China Construction Bank Corp,0939.HK,Hong Kong Exchanges And Clearing Ltd,Financials,Banks,Banks,Diversified Banks,HK
China Eastern Airlines Corp Ltd,CEA,"New York Stock Exchange, Inc.",Industrials,Transportation,Airlines,Airlines,US
China Finance Online Co Ltd,JRJC,Nasdaq,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage,US
China Gas Holdings Ltd,0384.HK,Hong Kong Exchanges And Clearing Ltd,Utilities,Utilities,Gas Utilities,Gas Utilities,HK
China Mobile Ltd,0941.HK,Hong Kong Exchanges And Clearing Ltd,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,HK
China Natural Resources Inc,CHNR,Nasdaq,Materials,Materials,Metals and Mining,Diversified Metals and Mining,US
China Petroleum & Chemical Corp,SNP,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,US
China Southern Airlines Co Ltd,ZNH,"New York Stock Exchange, Inc.",Industrials,Transportation,Airlines,Airlines,US
China State Construction International Holdings Ltd,3311.HK,Hong Kong Exchanges And Clearing Ltd,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering,HK
China Tourism Group Duty Free Corp Ltd,601888.SS,Shanghai Stock Exchange,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,China
China Vanke Co Ltd,000002.SZ,Shenzhen Stock Exchange,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Development,China
China World Trade Center Co Ltd,600007.SS,Shanghai Stock Exchange,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies,China
China Yangtze Power Co Ltd,600900.SS,Shanghai Stock Exchange,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity,China
China Yuchai International Ltd,CYD,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks,US
Chipotle Mexican Grill Inc,CMG,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
Cielo SA,CIEL3.SA,B3 S.A.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,Brazil
Cipla Ltd,CIPLA.BO,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,India
CISCO Systems Inc,CSCO,Nasdaq,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,US
CITIC Ltd,0267.HK,Hong Kong Exchanges And Clearing Ltd,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,HK
Citigroup Inc,C,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks,US
City of London Investment Group PLC,CLIG.L,London Stock Exchange,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,UK
Clearwater Paper Corp,CLW,"New York Stock Exchange, Inc.",Materials,Materials,Paper and Forest Products,Paper Products,US
Coal India Ltd,COALINDIA.BO,BSE LTD,Energy,Energy,"Oil, Gas and Consumable Fuels",Coal and Consumable Fuels,India
Coca-Cola Co,KO,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,US
Cognizant Technology Solutions Corp,CTSH,Nasdaq,Information Technology,Software and Services,IT Services,IT Consulting and Other Services,US
Colgate-Palmolive Co,CL,"New York Stock Exchange, Inc.",Consumer Staples,Household and Personal Products,Household Products,Household Products,US
Comcast Corp,CMCSA,Nasdaq,Communication Services,Media and Entertainment,Media,Cable & Satellite,US
Companhia De Saneamento Basico Do Estado De Sao Paulo,SBSP3.SA,B3 S.A.,Utilities,Utilities,Water Utilities,Water Utilities,Brazil
Companhia Siderurgica Nacional,CSNA3.SA,B3 S.A.,Materials,Materials,Metals and Mining,Steel,Brazil
Compass Group PLC,CPG.L,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,UK
Constellation Software Inc,CSU.TO,Toronto Stock Exchange,Information Technology,Software and Services,Software,Application Software,Canada
Continental Resources Inc,CLR,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,US
Corteva Inc,CTVA,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Fertilizers and Agricultural Chemicals,US
Cosan SA,CSAN3.SA,B3 S.A.,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing,Brazil
Costco Wholesale Corp,COST,Nasdaq,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers,US
CPFL Energia S.A.,CPFE3.SA,B3 S.A.,Utilities,Utilities,Electric Utilities,Electric Utilities,Brazil
Credit Suisse Group AG,CS,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Diversified Capital Markets,US
CVS Health Corp,CVS,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services,US
Daily Journal Corp,DJCO,Nasdaq,Communication Services,Media and Entertainment,Media,Publishing,US
Deere & Co,DE,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,US
Delta Air Lines Inc,DAL,"New York Stock Exchange, Inc.",Industrials,Transportation,Airlines,Airlines,US
Deutsche Bank AG,DB,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Diversified Capital Markets,US
Diageo PLC,DEO,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Distillers & Vintners,US
Digital Realty Trust Inc,DLR,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,US
Discover Financial Services,DFS,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Consumer Finance,Consumer Finance,US
discoverIE Group PLC,DSCV.L,London Stock Exchange,Industrials,Capital Goods,Electrical Equipment,Electrical Components and Equipment,UK
Dollar General Corp,DG,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,US
Dollar Tree Inc,DLTR,Nasdaq,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,US
Dollarama Inc,DOL.TO,Toronto Stock Exchange,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,Canada
Dominion Energy Inc,D,"New York Stock Exchange, Inc.",Utilities,Utilities,Multi-Utilities,Multi-Utilities,US
Dominos Pizza Inc,DOM.L,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,UK
Douglas Dynamics Inc,PLOW,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks,US
Dr Reddy's Laboratories Ltd,DRREDDY.BO,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,India
Dropbox Inc,DBX,Nasdaq,Information Technology,Software and Services,Software,Application Software,US
DXC Technology Co,DXC,"New York Stock Exchange, Inc.",Information Technology,Software and Services,IT Services,IT Consulting and Other Services,US
Eastman Chemical Co,EMN,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Diversified Chemicals,US
easyJet PLC,EZJ.L,London Stock Exchange,Industrials,Transportation,Airlines,Airlines,UK
